full_name,short_name
世纪资本伙伴有限公司										,世纪资本
珠海横琴澜潾基金管理有限公司										,珠海横琴澜潾基金管理有限公司
山东开来投资有限公司										,开来投资
HitFox Group										,HitFox Group
Parawin Venture Capital Corp.										,Parawin
河北国创投资管理有限公司										,国创投资
高览资本										,高览资本
曼图资本										,曼图资本
西安经发创新投资有限公司										,经发创投
五牛股权投资基金管理有限公司										,五牛基金
不公开的企业投资者										,不公开的企业投资者
U.S. Venture Partners										,USVP
旷世开融										,旷世开融
尚心资本										,尚心资本
"GMO Payment Gateway, Inc.										","GMO Payment Gateway, Inc."
RocketInternet										,RocketInternet
上海紫辉创业投资有限公司										,紫辉创投
高地风险投资公司										,高地风险投资
峰瑞资本										,峰瑞资本
北京远望创业投资有限公司										,远望创投
北京初者之心投资管理有限公司										,初心资本
国家开发投资公司										,国投集团
深圳力合清源创业投资管理有限公司										,力合清源创投
青岛拥湾高新创业投资有限责任公司										,拥湾高新投
True Ventures										,True Ventures
北京大咖联盟投资管理合伙企业（有限合伙）										,Star VC
上海浦创股权投资有限公司										,浦创投资
Sirius Venture Partners										,SVP
Northzone Ventures										,Northzone Ventures
福建省功夫文化股权投资管理有限公司										,功夫资本
上海新进创业投资管理有限公司										,新进创投
崇德基金投资有限公司										,崇德投资
上海世铭创业投资管理有限公司										,世铭投资
火炬高新技术产业投资有限公司										,火炬高新投
赛伯乐（中国）创业投资管理有限公司										,赛伯乐投资
视频生态产业基金										,视频生态基金
Hasso Plattner Ventures										,Hasso Plattner Ventures
RockPort Capital Partners										,RockPort Capital Partners
北京乐邦乐成创业投资管理有限公司										,乐邦乐成
美团（北京三快科技有限公司）										,美团
广银创投										,广银创投
High-TechGründerfonds										,High-TechGründerfonds
Stephens Inc										,Stephens Inc
富泰金融集团有限公司										,富泰金融集团
拉萨开发区凰朝投资有限公司										,凰朝投资
Millhouse										,Millhouse
摩根凯瑞资本管理有限公司										,摩根凯瑞资本
东京海上投资管理有限公司										,东京海上投资
深圳市前海青松创业投资基金管理企业（有限合伙）										,青松基金
首峰资金管理有限公司										,AIP
当代置业（中国）有限公司										,当代置业
赛速投资咨询（上海）有限公司										,赛速投资
AnthemisGroup										,AnthemisGroup
深圳市架桥资本管理股份有限公司										,架桥资本
上海张江高科技园区开发股份有限公司										,张江高科
江西鄱阳湖产业投资管理有限公司										,鄱阳湖资本
北京国巨创业投资有限公司										,国巨创投
上海蓝霄投资管理有限公司										,上海蓝霄投资管理有限公司
北京金石农业投资基金管理中心（有限合伙）										,金石农投
苏州香塘创业投资有限责任公司										,香塘创投
达泰资本										,达泰资本
RimAsia Capital Partners										,RimAsia
Local Globe										,Local Globe
Moon Capital Partners Master Fund Ltd.										,Moon Capital
British Sky Broadcasting										,British Sky Broadcasting
Technology Crossover Ventures										,TCV
世欣荣和投资管理股份有限公司										,世欣荣和
中欧独立电影基金										,中欧独立电影基金
氪空间										,氪空间
北京厚持投资管理有限责任公司										,厚持资本
北京鼎问财富投资管理有限公司										,鼎问财富投资
斗山(中国)投资公司										,斗山投资
中以基金										,中以基金
无锡恒诺股权投资基金管理有限公司										,恒诺投资
谷歌风投										,谷歌风投
广东硕富投资管理有限公司										,硕富
风和投资管理										,风和投资
"AJU IB Investment Co., Ltd.										",AJU IB
lool ventures										,lool ventures
DominateFund										,DominateFund
亚洲夹层资本集团										,亚洲夹层资本
广西国开投资管理有限公司										,广西国开投资
金华市高新技术投资有限公司										,金华高新技术投资
寰宇万银资本集团										,寰宇万银
口袋兼职										,口袋兼职
上海秉原秉鸿股权投资管理有限公司										,秉鸿资本
中美战略资本集团										,中美战略资本
Raffles International Investment Ltd.										,Raffles
温州市科技创新创业投资基金										,温州市科技双创基金
Avia Capital Partners Limited										,Avia Capital
深圳市百顺投资管理有限公司										,百顺投资
小企业援助基金管理公司										,SEAF
Korea Investment Partners韩投伙伴										,韩投伙伴
Illuminate Ventures										,Illuminate Ventures
民森投资										,民森投资
Rachel Zoe Ventures										,Rachel Zoe Ventures
艾信投资										,艾信投资
银瑞达										,银瑞达
新世界策略投资有限公司										,新策略
深圳市鼎川投资有限公司										,鼎川投资
长安国际信托股份有限公司										,长安信托
北京当乐信息技术有限公司										,当乐网
北京科技风险投资股份有限公司										,北京科技风投
深圳市中兴合创投资管理有限公司										,深圳中兴合创
华软资本管理集团股份有限公司										,华软资本
中国民生投资股份有限公司										,民生投资
Argonaut Private Equity										,Argonaut
北京盛邦天使投资管理有限公司										,盛邦天使
朱雀投资										,朱雀投资
陕西亿信投资有限公司										,亿信投资
北京昆仑星河投资管理有限公司（原实地资本										,昆仑星河
星浩资本投资公司										,星浩资本
杭州彖云投资管理有限公司										,杭州彖云投资管理有限公司
长城（天津）股权投资基金管理有限责任公司										,天津长城基金
北京蓝血科技投资有限公司										,蓝血科技风险投资
连云港金海创业投资有限公司										,金海创投
上海欧擎资产管理集团										,欧擎集团
